"Age" "Transport" "Dining" "Coffee"
"120" "60+" "Car" "Daily" "Tea"
"121" "18-25" "Bike" "Daily" "Tea"
"122" "60+" "Car" "Weekly" "Black"
"123" "18-25" "Bike" "Rarely" "Black"
"124" "26-40" "Transit" "Rarely" "Tea"
"125" "26-40" "Transit" "Daily" "Tea"
"126" "26-40" "Bike" "Weekly" "Tea"
"127" "41-60" "Car" "Rarely" "Black"
"128" "26-40" "Car" "Rarely" "Black"
"129" "26-40" "Transit" "Weekly" "Black"
"130" "41-60" "Car" "Daily" "Black"
"131" "41-60" "Bike" "Rarely" "Black"
"132" "41-60" "Car" "Weekly" "Tea"
"133" "18-25" "Transit" "Rarely" "Milk"
"134" "18-25" "Bike" "Weekly" "Tea"
"135" "41-60" "Car" "Daily" "Tea"
"136" "18-25" "Transit" "Weekly" "Tea"
"137" "26-40" "Transit" "Rarely" "Tea"
"138" "26-40" "Car" "Daily" "Black"
"139" "41-60" "Car" "Daily" "Milk"
"140" "26-40" "Bike" "Rarely" "Milk"
"141" "60+" "Bike" "Weekly" "Tea"
"142" "18-25" "Bike" "Rarely" "Tea"
"143" "41-60" "Car" "Rarely" "Milk"
"144" "18-25" "Transit" "Rarely" "Black"
"145" "26-40" "Car" "Daily" "Black"
"146" "26-40" "Bike" "Daily" "Black"
"147" "41-60" "Car" "Weekly" "Tea"
"148" "41-60" "Car" "Weekly" "Black"
"149" "26-40" "Transit" "Weekly" "Milk"
"150" "26-40" "Transit" "Daily" "Milk"
